Invoice Date,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,Invoice ID,Retailer ID
2020-03-14,Men's Apparel,60,925,555000,166500,30,Outlet,47117642,3004
2020-03-15,Women's Apparel,65,1100,715000,178750,25,Outlet,66130809,3004
2020-03-16,Men's Street Footwear,60,1250,750000,375000,50,Outlet,47312994,3004
2020-03-17,Men's Athletic Footwear,55,1025,563750,169125,30,Outlet,41970681,3004
2020-03-18,Women's Street Footwear,50,950,475000,166250,35,Outlet,36956788,3004
2020-03-31,Women's Athletic Footwear,50,925,462500,161875,35,Outlet,22254897,3004
2020-04-17,Men's Apparel,60,900,540000,162000,30,Outlet,68567147,7802
2020-04-18,Women's Apparel,65,1075,698750,174688,25,Outlet,11268586,7802
2020-04-19,Men's Street Footwear,60,1200,720000,360000,50,Outlet,43885075,7802
2020-04-20,Men's Athletic Footwear,55,1000,550000,165000,30,Outlet,50099098,7802
2020-04-21,Women's Street Footwear,50,925,462500,161875,35,Outlet,49364817,7802
2020-04-22,Women's Athletic Footwear,50,900,450000,157500,35,Outlet,92859565,7802
2020-04-23,Men's Apparel,60,900,540000,162000,30,Outlet,53102180,7802
2020-04-24,Women's Apparel,65,1000,650000,162500,25,Outlet,74676337,7802
2020-04-25,Men's Apparel,65,875,568750,170625,30,Outlet,11672852,7802
2020-04-26,Women's Apparel,70,1000,700000,175000,25,Outlet,50455435,7802
2020-04-27,Men's Street Footwear,65,1150,747500,373750,50,Outlet,35543274,7802
2020-04-28,Men's Athletic Footwear,55,975,536250,160875,30,Outlet,19821529,7802
2020-04-29,Women's Street Footwear,55,920,506000,177100,35,Outlet,12901667,7802
2020-04-30,Women's Athletic Footwear,55,900,495000,173250,35,Outlet,69117120,7802
2020-05-01,Men's Apparel,65,875,568750,170625,30,Outlet,76778234,7802
2020-05-02,Women's Apparel,70,975,682500,170625,25,Outlet,33789179,7802
2020-05-03,Men's Street Footwear,65,1200,780000,390000,50,Outlet,64063807,7802
2020-05-04,Men's Athletic Footwear,55,1000,550000,165000,30,Outlet,28740720,7802
2020-05-05,Women's Street Footwear,55,950,522500,182875,35,Outlet,21061376,7802
2020-05-06,Women's Athletic Footwear,55,900,495000,173250,35,Outlet,16086860,7802
2020-05-07,Men's Apparel,65,900,585000,175500,30,Outlet,48243735,7802
2020-07-18,Women's Apparel,70,1000,700000,175000,25,Outlet,50364448,7802
2020-07-19,Men's Street Footwear,25,900,225000,78750,35,Outlet,77972905,2164
2020-07-20,Men's Athletic Footwear,35,900,315000,110250,35,Outlet,82124367,2164
2020-07-21,Women's Street Footwear,35,700,245000,85750,35,Outlet,19754967,2164
2020-07-22,Women's Athletic Footwear,35,700,245000,110250,45,Outlet,19366361,2164
2020-07-23,Men's Apparel,40,550,220000,66000,30,Outlet,40773950,2164
2020-07-24,Women's Apparel,35,700,245000,122500,50,Outlet,67895942,2164
2020-07-25,Men's Street Footwear,25,850,212500,74375,35,Outlet,80296036,2164
2020-07-26,Men's Athletic Footwear,35,850,297500,104125,35,Outlet,16329254,2164
2020-07-27,Women's Street Footwear,35,675,236250,82688,35,Outlet,23368341,2164
2020-07-28,Women's Athletic Footwear,35,625,218750,98438,45,Outlet,89868746,2164
2020-07-29,Men's Apparel,40,500,200000,60000,30,Outlet,11267517,2164
2020-07-30,Women's Apparel,35,700,245000,122500,50,Outlet,77805621,2164
2020-07-31,Men's Street Footwear,30,875,262500,91875,35,Outlet,47249459,2164
2020-08-01,Men's Athletic Footwear,40,875,350000,122500,35,Outlet,85929907,2164
2020-08-02,Women's Street Footwear,35,700,245000,85750,35,Outlet,98061974,2164
2020-08-03,Women's Athletic Footwear,40,600,240000,108000,45,Outlet,57528029,2164
2020-08-04,Men's Apparel,45,500,225000,67500,30,Outlet,17265144,2164
2020-08-05,Women's Apparel,40,650,260000,130000,50,Outlet,64377872,2164
2020-08-06,Men's Street Footwear,30,900,270000,94500,35,Outlet,29232859,2164
2020-08-07,Men's Athletic Footwear,40,900,360000,126000,35,Outlet,45738209,2164
2020-08-08,Women's Street Footwear,35,725,253750,88813,35,Outlet,15538270,2164
2020-08-09,Women's Athletic Footwear,40,625,250000,112500,45,Outlet,33474302,2164
2020-08-10,Men's Apparel,45,525,236250,70875,30,Outlet,31242243,7802
2020-08-11,Women's Apparel,40,800,320000,160000,50,Outlet,92374706,7802
2020-08-12,Men's Street Footwear,30,925,277500,97125,35,Outlet,45524061,7802
2020-08-13,Men's Athletic Footwear,40,925,370000,129500,35,Outlet,80571611,7802
2020-08-14,Women's Street Footwear,35,775,271250,94938,35,Outlet,66757795,7802
2020-08-15,Women's Athletic Footwear,40,700,280000,126000,45,Outlet,60920383,7802
2020-08-16,Men's Apparel,45,600,270000,81000,30,Outlet,74673468,7802
2020-08-17,Women's Apparel,40,950,380000,190000,50,Outlet,67416175,7802
2020-08-18,Men's Street Footwear,40,950,380000,133000,35,Outlet,64161579,7802
2020-08-19,Men's Athletic Footwear,45,950,427500,149625,35,Outlet,47702280,7802
2020-08-20,Women's Street Footwear,40,800,320000,112000,35,Outlet,41566773,7802
2020-08-21,Women's Athletic Footwear,40,750,300000,135000,45,Outlet,86030731,7802
2020-08-22,Men's Apparel,45,650,292500,87750,30,Outlet,37943747,7802
2020-08-23,Women's Apparel,50,1000,500000,250000,50,Outlet,53219858,7802
2020-08-24,Men's Street Footwear,40,950,380000,133000,35,Outlet,87762375,7802
2020-08-25,Men's Athletic Footwear,45,950,427500,149625,35,Outlet,21766730,7802
2020-08-26,Women's Street Footwear,40,1100,440000,154000,35,Outlet,62046147,7802
2020-08-27,Women's Athletic Footwear,40,700,280000,126000,45,Outlet,20267267,7802
2020-08-28,Men's Apparel,45,700,315000,94500,30,Outlet,33206743,7802
2020-08-29,Women's Apparel,50,975,487500,243750,50,Outlet,65746831,7802
2020-08-30,Men's Street Footwear,40,925,370000,129500,35,Outlet,88609935,7802
2020-08-31,Men's Athletic Footwear,45,925,416250,145688,35,Outlet,29381734,7802
2020-09-01,Women's Street Footwear,40,1100,440000,154000,35,Outlet,40741940,7802
2020-09-02,Women's Athletic Footwear,40,650,260000,117000,45,Outlet,97169342,7802
2020-09-03,Men's Apparel,45,650,292500,87750,30,Outlet,21288711,7802
2020-09-04,Women's Apparel,50,900,450000,225000,50,Outlet,68676042,7802
2020-09-05,Men's Street Footwear,45,850,382500,133875,35,Outlet,40381924,7802
2020-09-06,Men's Athletic Footwear,45,850,382500,133875,35,Outlet,71422574,7802
2020-09-07,Women's Street Footwear,50,900,450000,157500,35,Outlet,54672758,7802
2020-09-08,Women's Athletic Footwear,50,625,312500,140625,45,Outlet,83891834,7802
2020-09-09,Men's Apparel,45,625,281250,84375,30,Outlet,87470063,7802
2020-09-10,Women's Apparel,55,850,467500,233750,50,Outlet,65915318,7802
2020-09-11,Men's Street Footwear,45,800,360000,126000,35,Outlet,62856388,7802
2020-09-12,Men's Athletic Footwear,45,800,360000,126000,35,Outlet,83932807,7802
2020-09-13,Women's Street Footwear,50,750,375000,131250,35,Outlet,67511062,7802
2020-09-14,Women's Athletic Footwear,50,600,300000,135000,45,Outlet,65308696,7802
2020-09-15,Men's Apparel,45,575,258750,77625,30,Outlet,93267887,7802
2020-09-16,Women's Apparel,55,750,412500,206250,50,Outlet,84050165,7802
2020-10-20,Men's Street Footwear,45,900,405000,141750,35,Outlet,85618203,7802
2020-10-21,Men's Athletic Footwear,45,900,405000,141750,35,Outlet,64228791,7802
2020-10-22,Women's Street Footwear,50,825,412500,144375,35,Outlet,99654116,7802
2020-10-23,Women's Athletic Footwear,50,675,337500,151875,45,Outlet,66981039,7802
2020-10-24,Men's Apparel,45,650,292500,87750,30,Outlet,56165795,7802
2020-10-25,Women's Apparel,55,850,467500,233750,50,Outlet,93320080,7802
2020-10-26,Men's Street Footwear,45,950,427500,149625,35,Outlet,60337728,7802
2020-10-27,Men's Athletic Footwear,45,950,427500,149625,35,Outlet,55104984,7802
2020-10-28,Women's Street Footwear,50,850,425000,148750,35,Outlet,35189983,7802
2020-10-29,Women's Athletic Footwear,50,700,350000,157500,45,Outlet,83883399,7802
2020-10-30,Men's Apparel,45,650,292500,87750,30,Outlet,11923124,7802
2020-10-31,Women's Apparel,55,900,495000,247500,50,Outlet,18794148,7802
2020-11-01,Men's Street Footwear,40,775,310000,108500,35,Outlet,58893902,3199
2020-11-02,Men's Athletic Footwear,50,775,387500,77500,20,Outlet,38931219,3199
2020-11-03,Women's Street Footwear,50,775,387500,135625,35,Outlet,32083167,3199
2020-11-04,Women's Athletic Footwear,50,625,312500,93750,30,Outlet,56022403,3199
2020-11-05,Men's Apparel,55,575,316250,158125,50,Outlet,73828176,3199
2020-11-06,Women's Apparel,50,775,387500,58125,15,Outlet,88623769,3199
2020-11-07,Men's Street Footwear,40,825,330000,115500,35,Outlet,70459937,3199
2020-11-08,Men's Athletic Footwear,50,725,362500,72500,20,Outlet,70165506,3199
2020-11-09,Women's Street Footwear,50,725,362500,126875,35,Outlet,47222499,3199
2020-11-10,Women's Athletic Footwear,50,575,287500,86250,30,Outlet,55037457,3199
2020-11-11,Men's Apparel,55,500,275000,137500,50,Outlet,86593836,3199
2020-11-12,Women's Apparel,50,700,350000,52500,15,Outlet,30901188,3199
2020-11-13,Men's Street Footwear,50,850,425000,148750,35,Outlet,77355146,3199
2020-11-14,Men's Athletic Footwear,60,700,420000,84000,20,Outlet,91937314,3199
2020-11-15,Women's Street Footwear,60,700,420000,147000,35,Outlet,79226017,3199
2020-12-22,Women's Athletic Footwear,60,600,360000,108000,30,Outlet,49931755,3199
2020-12-23,Men's Apparel,65,500,325000,162500,50,Outlet,52124012,3199
2020-12-24,Women's Apparel,60,700,420000,63000,15,Outlet,19084291,3199
2020-12-25,Men's Street Footwear,60,875,525000,183750,35,Outlet,72624732,3199
2020-12-26,Men's Athletic Footwear,65,675,438750,87750,20,Outlet,34705235,3199
2020-12-27,Women's Street Footwear,65,725,471250,164938,35,Outlet,50847055,3199
2020-12-28,Women's Athletic Footwear,60,625,375000,112500,30,Outlet,17839472,3199
2020-12-29,Men's Apparel,65,525,341250,170625,50,Outlet,57000727,3199
2020-12-30,Women's Apparel,80,700,560000,84000,15,Outlet,69945709,3199
2020-12-31,Men's Street Footwear,60,900,540000,216000,40,Outlet,84615753,3199
2021-01-01,Men's Athletic Footwear,65,750,487500,121875,25,Outlet,47275257,3199
2021-01-02,Women's Street Footwear,65,750,487500,195000,40,Outlet,26044303,3199
2021-01-03,Women's Athletic Footwear,60,650,390000,136500,35,Outlet,41228443,3199
2021-01-04,Men's Apparel,65,550,357500,196625,55,Outlet,23504151,3199
2021-01-05,Women's Apparel,80,725,580000,116000,20,Outlet,72279843,3199
2021-01-06,Men's Street Footwear,60,975,585000,234000,40,Outlet,16036742,3199
2021-01-07,Men's Athletic Footwear,65,825,536250,134063,25,Outlet,22283883,3199
2021-01-08,Women's Street Footwear,65,825,536250,214500,40,Outlet,98495913,3199
2021-01-09,Women's Athletic Footwear,60,700,420000,147000,35,Outlet,83000630,3199
2021-01-10,Men's Apparel,65,575,373750,205563,55,Outlet,27248883,3199
2021-01-11,Women's Apparel,80,875,700000,140000,20,Outlet,81158054,3199
2021-01-12,Men's Street Footwear,60,1025,615000,215250,35,Outlet,78172121,3199
2021-01-13,Men's Athletic Footwear,65,875,568750,113750,20,Outlet,43882301,3199
2021-01-14,Women's Street Footwear,65,825,536250,187688,35,Outlet,20863555,3199
2021-01-15,Women's Athletic Footwear,60,725,435000,130500,30,Outlet,38050404,3199
2021-01-16,Men's Apparel,65,775,503750,251875,50,Outlet,23755806,3199
2021-01-17,Women's Apparel,80,775,620000,93000,15,Outlet,25569611,3199
2021-01-18,Men's Street Footwear,65,975,633750,221813,35,Outlet,74287895,3199
2021-01-19,Men's Athletic Footwear,70,925,647500,129500,20,Outlet,18995324,3199
2021-01-20,Women's Street Footwear,65,800,520000,182000,35,Outlet,41598110,3199
2021-01-21,Women's Athletic Footwear,65,750,487500,146250,30,Outlet,56452379,3199
2021-01-22,Men's Apparel,75,750,562500,281250,50,Outlet,16368717,3199
2021-01-23,Women's Apparel,80,725,580000,87000,15,Outlet,67447259,3199
2021-01-24,Men's Street Footwear,55,925,508750,152625,30,Outlet,85152237,3199
2021-01-25,Men's Athletic Footwear,60,925,555000,83250,15,Outlet,92682222,3199
2021-01-26,Women's Street Footwear,55,775,426250,127875,30,Outlet,97736445,3199
2021-01-27,Women's Athletic Footwear,55,725,398750,99688,25,Outlet,40550862,3199
2021-01-28,Men's Apparel,65,725,471250,212063,45,Outlet,31502926,3199
2021-01-29,Women's Apparel,70,775,542500,54250,10,Outlet,42669956,3199
2021-01-30,Men's Street Footwear,55,875,481250,144375,30,Outlet,19435172,3199
2021-01-31,Men's Athletic Footwear,60,875,525000,78750,15,Outlet,73428873,3199
2021-02-01,Women's Street Footwear,55,700,385000,115500,30,Outlet,62222622,3199
2021-02-02,Women's Athletic Footwear,55,675,371250,92813,25,Outlet,79125058,3199
2021-02-03,Men's Apparel,65,650,422500,190125,45,Outlet,18707513,3199
2021-02-04,Women's Apparel,70,700,490000,49000,10,Outlet,50856998,3199
2021-02-05,Men's Street Footwear,55,875,481250,144375,30,Outlet,71801741,3199
2021-02-06,Men's Athletic Footwear,60,875,525000,78750,15,Outlet,51953620,3199
2021-02-07,Women's Street Footwear,55,725,398750,119625,30,Outlet,75295468,3199
2021-02-08,Women's Athletic Footwear,55,700,385000,96250,25,Outlet,86581073,3199
2021-02-09,Men's Apparel,65,650,422500,190125,45,Outlet,26392292,3199
2021-02-10,Women's Apparel,70,775,542500,54250,10,Outlet,15956529,3199
2021-02-11,Men's Street Footwear,55,975,536250,160875,30,Outlet,96965606,3199
2021-02-12,Men's Athletic Footwear,60,975,585000,87750,15,Outlet,81944919,3199
2021-02-13,Women's Street Footwear,55,775,426250,127875,30,Outlet,16096640,3199
2021-02-14,Women's Athletic Footwear,55,775,426250,106563,25,Outlet,35107232,3199
2021-02-15,Men's Apparel,65,700,455000,204750,45,Outlet,94366583,3199
2021-02-16,Women's Apparel,70,800,560000,56000,10,Outlet,47873228,3199
2021-02-17,Men's Street Footwear,35,700,245000,98000,40,Outlet,32459905,5427
2021-02-18,Men's Athletic Footwear,45,700,315000,78750,25,Outlet,64159149,5427
2021-03-09,Women's Street Footwear,45,700,315000,126000,40,Outlet,75815805,5427
2021-03-10,Women's Athletic Footwear,45,550,247500,86625,35,Outlet,11089194,5427
2021-03-11,Men's Apparel,50,500,250000,137500,55,Outlet,46140590,5427
2021-03-12,Women's Apparel,45,700,315000,63000,20,Outlet,52742059,5427
2021-03-13,Men's Street Footwear,35,750,262500,105000,40,Outlet,73404760,5427
2021-03-14,Men's Athletic Footwear,45,650,292500,73125,25,Outlet,70257810,5427
2021-03-15,Women's Street Footwear,45,675,303750,121500,40,Outlet,51032759,5427
2021-03-16,Women's Athletic Footwear,45,525,236250,82688,35,Outlet,96025603,5427
2021-03-17,Men's Apparel,50,450,225000,123750,55,Outlet,90216359,5427
2021-03-18,Women's Apparel,45,650,292500,58500,20,Outlet,23201011,5427
2021-03-19,Men's Street Footwear,35,800,280000,112000,40,Outlet,63546622,5427
2021-03-20,Men's Athletic Footwear,45,650,292500,73125,25,Outlet,78669409,5427
2021-03-21,Women's Street Footwear,45,650,292500,117000,40,Outlet,77321030,5427
2021-03-22,Women's Athletic Footwear,45,550,247500,86625,35,Outlet,50899240,5427
2021-03-23,Men's Apparel,50,425,212500,116875,55,Outlet,36669911,5427
2021-04-06,Women's Apparel,45,625,281250,56250,20,Outlet,22171160,5427
2021-04-07,Men's Street Footwear,45,800,360000,144000,40,Outlet,50545384,5427
2021-04-08,Men's Athletic Footwear,50,600,300000,75000,25,Outlet,59658996,5427
2021-04-09,Women's Street Footwear,50,625,312500,125000,40,Outlet,47990232,5427
2021-04-10,Women's Athletic Footwear,45,525,236250,82688,35,Outlet,21298345,5427
2021-04-11,Men's Apparel,50,425,212500,116875,55,Outlet,35325527,5427
2021-04-12,Women's Apparel,65,600,390000,78000,20,Outlet,86220373,5427
2021-04-13,Men's Street Footwear,45,800,360000,144000,40,Outlet,53523201,5427
2021-04-14,Men's Athletic Footwear,50,650,325000,81250,25,Outlet,97642294,5427
2021-04-15,Women's Street Footwear,50,650,325000,130000,40,Outlet,16935632,5427
2021-04-16,Women's Athletic Footwear,45,550,247500,86625,35,Outlet,64992486,5427
2021-04-17,Men's Apparel,50,450,225000,123750,55,Outlet,35785581,5427
2021-04-18,Women's Apparel,65,625,406250,81250,20,Outlet,14376325,5427
2021-04-19,Men's Street Footwear,45,900,405000,162000,40,Outlet,66286319,5427
2021-04-20,Men's Athletic Footwear,50,750,375000,93750,25,Outlet,77898007,5427
2021-04-21,Women's Street Footwear,50,750,375000,150000,40,Outlet,69200677,5427
2021-04-22,Women's Athletic Footwear,45,625,281250,98438,35,Outlet,72487032,5427
2021-04-23,Men's Apparel,50,500,250000,137500,55,Outlet,89039046,5427
2021-04-24,Women's Apparel,65,800,520000,104000,20,Outlet,39802777,5427
2021-04-25,Men's Street Footwear,45,950,427500,171000,40,Outlet,96974385,5427
2021-04-26,Men's Athletic Footwear,50,800,400000,100000,25,Outlet,37777556,5427
2021-04-27,Women's Street Footwear,50,750,375000,150000,40,Outlet,76517165,5427
2021-04-28,Women's Athletic Footwear,45,650,292500,102375,35,Outlet,23741696,5427
2021-04-29,Men's Apparel,50,700,350000,192500,55,Outlet,84475442,5427
2021-04-30,Women's Apparel,65,700,455000,91000,20,Outlet,15583195,5427
2021-05-01,Men's Street Footwear,50,900,450000,180000,40,Outlet,69487692,5427
2021-05-02,Men's Athletic Footwear,55,850,467500,116875,25,Outlet,99574765,5427
2021-05-03,Women's Street Footwear,50,725,362500,145000,40,Outlet,28537785,5427
2021-05-04,Women's Athletic Footwear,50,675,337500,118125,35,Outlet,85541886,5427
2021-05-05,Men's Apparel,60,675,405000,222750,55,Outlet,63561940,5427
2021-05-06,Women's Apparel,65,650,422500,84500,20,Outlet,38656773,5427
2021-05-07,Men's Street Footwear,50,850,425000,170000,40,Outlet,15538268,5427
2021-05-08,Men's Athletic Footwear,55,850,467500,116875,25,Outlet,15832094,5427
2021-05-09,Women's Street Footwear,50,700,350000,140000,40,Outlet,48278157,5427
2021-05-10,Women's Athletic Footwear,50,650,325000,113750,35,Outlet,60072138,5427
2021-05-11,Men's Apparel,60,650,390000,214500,55,Outlet,30967907,5427
2021-05-12,Women's Apparel,65,700,455000,91000,20,Outlet,12954418,5427
2021-05-13,Men's Street Footwear,50,800,400000,160000,40,Outlet,95585729,5427
2021-05-14,Men's Athletic Footwear,55,800,440000,110000,25,Outlet,69660030,5427
2021-05-15,Women's Street Footwear,50,650,325000,130000,40,Outlet,28199692,5427
2021-05-16,Women's Athletic Footwear,50,625,312500,109375,35,Outlet,95025025,5427
2021-05-17,Men's Apparel,60,600,360000,198000,55,Outlet,19489110,5427
2021-05-18,Women's Apparel,65,650,422500,84500,20,Outlet,31117922,5427
2021-05-19,Men's Street Footwear,50,825,412500,165000,40,Outlet,84057593,5427
2021-05-20,Men's Athletic Footwear,55,825,453750,113438,25,Outlet,97348220,5427
2021-05-21,Women's Street Footwear,50,675,337500,135000,40,Outlet,68835038,5427
2021-05-22,Women's Athletic Footwear,50,650,325000,113750,35,Outlet,22966910,5427
2021-05-23,Men's Apparel,60,600,360000,198000,55,Outlet,36473655,5427
2021-05-24,Women's Apparel,65,700,455000,91000,20,Outlet,79325639,5427
2021-05-25,Men's Street Footwear,50,900,450000,180000,40,Outlet,98016635,5427
2021-05-26,Men's Athletic Footwear,55,900,495000,123750,25,Outlet,16411192,5427
2021-05-27,Women's Street Footwear,50,700,350000,140000,40,Outlet,30156381,5427
2021-05-28,Women's Athletic Footwear,50,700,350000,122500,35,Outlet,22401718,5427
2021-05-29,Men's Apparel,60,625,375000,206250,55,Outlet,68847420,5427
2021-05-30,Women's Apparel,65,725,471250,94250,20,Outlet,32206689,5427
2021-05-31,Men's Street Footwear,45,475,213750,85500,40,Outlet,82291734,3004
2021-06-01,Men's Athletic Footwear,45,275,123750,43313,35,Outlet,16627402,3004
2021-06-02,Women's Street Footwear,35,275,96250,33688,35,Outlet,62660865,3004
2021-06-03,Women's Athletic Footwear,40,125,50000,20000,40,Outlet,85918470,3004
2021-06-04,Men's Apparel,55,175,96250,33688,35,Outlet,98813523,3004
2021-06-05,Women's Apparel,45,275,123750,61875,50,Outlet,40421987,3004
2021-06-06,Men's Street Footwear,45,525,236250,94500,40,Outlet,86599135,3004
2021-06-07,Men's Athletic Footwear,45,175,78750,27563,35,Outlet,11985594,3004
2021-06-08,Women's Street Footwear,35,225,78750,27563,35,Outlet,60563302,3004
2021-06-09,Women's Athletic Footwear,40,100,40000,16000,40,Outlet,65366965,3004
2021-06-10,Men's Apparel,55,175,96250,33688,35,Outlet,66065288,3004
2021-06-11,Women's Apparel,45,275,123750,61875,50,Outlet,33282826,3004
2021-06-12,Men's Street Footwear,50,495,247500,99000,40,Outlet,11096610,3004
2021-06-13,Men's Athletic Footwear,50,200,100000,35000,35,Outlet,79288594,3004
2021-06-14,Women's Street Footwear,40,225,90000,31500,35,Outlet,80663162,3004
2021-06-15,Women's Athletic Footwear,45,75,33750,13500,40,Outlet,47635064,3004
2021-06-16,Men's Apparel,60,125,75000,26250,35,Outlet,60028125,3004
2021-06-17,Women's Apparel,50,225,112500,56250,50,Outlet,60587867,3004
2021-06-18,Men's Street Footwear,50,450,225000,90000,40,Outlet,21542886,3004
2021-06-19,Men's Athletic Footwear,50,150,75000,26250,35,Outlet,97050298,3004
2021-06-20,Women's Street Footwear,40,150,60000,21000,35,Outlet,52974092,3004
2021-06-21,Women's Athletic Footwear,45,75,33750,13500,40,Outlet,28046951,3004
2021-06-22,Men's Apparel,60,100,60000,21000,35,Outlet,73962014,3004
2021-06-23,Women's Apparel,50,225,112500,56250,50,Outlet,16721306,3004
2021-06-24,Men's Street Footwear,60,495,297000,118800,40,Outlet,84468404,3004
2021-06-25,Men's Athletic Footwear,55,200,110000,38500,35,Outlet,42452581,3004
2021-06-26,Women's Street Footwear,50,175,87500,30625,35,Outlet,37625189,3004
2021-06-27,Women's Athletic Footwear,50,100,50000,20000,40,Outlet,14416679,3004
2021-06-28,Men's Apparel,60,125,75000,26250,35,Outlet,41862167,3004
2021-06-29,Women's Apparel,65,250,162500,81250,50,Outlet,21928154,3004
2021-06-30,Men's Street Footwear,50,500,250000,100000,40,Outlet,96450307,3004
2021-07-01,Men's Athletic Footwear,45,250,112500,39375,35,Outlet,64631087,3004
2021-07-02,Women's Street Footwear,40,200,80000,28000,35,Outlet,93803236,3004
2021-07-03,Women's Athletic Footwear,40,175,70000,28000,40,Outlet,19344250,3004
2021-07-04,Men's Apparel,50,175,87500,30625,35,Outlet,72005028,3004
2021-07-05,Women's Apparel,55,350,192500,96250,50,Outlet,13519269,3004
2021-07-06,Men's Street Footwear,50,575,287500,115000,40,Outlet,11937474,3004
2021-07-07,Men's Athletic Footwear,45,325,146250,51188,35,Outlet,78689027,3004
2021-07-08,Women's Street Footwear,40,250,100000,35000,35,Outlet,18089201,3004
2021-07-09,Women's Athletic Footwear,40,200,80000,32000,40,Outlet,19372296,3004
2021-07-10,Men's Apparel,50,225,112500,39375,35,Outlet,99384334,3004
2021-07-11,Women's Apparel,55,400,220000,110000,50,Outlet,65920372,3004
2021-07-12,Men's Street Footwear,50,550,275000,110000,40,Outlet,14019226,3004
2021-07-13,Men's Athletic Footwear,45,325,146250,51188,35,Outlet,42038616,3004
2021-07-14,Women's Street Footwear,40,250,100000,35000,35,Outlet,80847880,3004
2021-07-15,Women's Athletic Footwear,40,225,90000,36000,40,Outlet,94169411,3004
2021-07-16,Men's Apparel,50,200,100000,35000,35,Outlet,58630399,3004
2021-07-17,Women's Apparel,55,375,206250,103125,50,Outlet,58872420,3004
2021-07-18,Men's Street Footwear,50,500,250000,100000,40,Outlet,19249962,3004
2021-07-19,Men's Athletic Footwear,45,300,135000,47250,35,Outlet,79973165,3004
2021-07-20,Women's Street Footwear,40,200,80000,28000,35,Outlet,72610063,3004
2021-07-21,Women's Athletic Footwear,40,175,70000,28000,40,Outlet,58458377,3004
2021-07-22,Men's Apparel,50,175,87500,30625,35,Outlet,57291888,3004
