Retailer,Region,State,City,Operating Profit,Operating Margin,Retailer ID
Foot Locker,Midwest,Illinois,Chicago,26250,35,3004
Foot Locker,Midwest,Illinois,Chicago,21000,35,3004
Foot Locker,Midwest,Illinois,Chicago,13500,40,3004
Foot Locker,Midwest,Illinois,Chicago,21000,35,3004
Foot Locker,Midwest,Illinois,Chicago,56250,50,3004
Foot Locker,Midwest,Illinois,Chicago,118800,40,3004
Foot Locker,Midwest,Illinois,Chicago,38500,35,3004
Foot Locker,Midwest,Illinois,Chicago,30625,35,3004
Foot Locker,Midwest,Illinois,Chicago,20000,40,3004
Foot Locker,Midwest,Illinois,Chicago,26250,35,3004
Foot Locker,Midwest,Illinois,Chicago,81250,50,3004
Foot Locker,Midwest,Illinois,Chicago,100000,40,3004
Foot Locker,Midwest,Illinois,Chicago,39375,35,3004
Foot Locker,Midwest,Illinois,Chicago,28000,35,3004
Foot Locker,Midwest,Illinois,Chicago,28000,40,3004
Foot Locker,Midwest,Illinois,Chicago,30625,35,3004
Foot Locker,Midwest,Illinois,Chicago,96250,50,3004
Foot Locker,Midwest,Illinois,Chicago,115000,40,3004
Foot Locker,Midwest,Illinois,Chicago,51188,35,3004
Foot Locker,Midwest,Illinois,Chicago,35000,35,3004
Foot Locker,Midwest,Illinois,Chicago,32000,40,3004
Foot Locker,Midwest,Illinois,Chicago,39375,35,3004
Foot Locker,Midwest,Illinois,Chicago,110000,50,3004
Foot Locker,Midwest,Illinois,Chicago,110000,40,3004
Foot Locker,Midwest,Illinois,Chicago,51188,35,3004
Foot Locker,Midwest,Illinois,Chicago,35000,35,3004
Foot Locker,Midwest,Illinois,Chicago,36000,40,3004
Foot Locker,Midwest,Illinois,Chicago,35000,35,3004
Foot Locker,Midwest,Illinois,Chicago,103125,50,3004
Foot Locker,Midwest,Illinois,Chicago,100000,40,3004
Foot Locker,Midwest,Illinois,Chicago,47250,35,3004
Foot Locker,Midwest,Illinois,Chicago,28000,35,3004
Foot Locker,Midwest,Illinois,Chicago,28000,40,3004
Foot Locker,Midwest,Illinois,Chicago,30625,35,3004
Foot Locker,Midwest,Illinois,Chicago,68750,50,3004
Foot Locker,Midwest,Illinois,Chicago,102000,40,3004
Foot Locker,Midwest,Illinois,Chicago,43750,35,3004
Foot Locker,Midwest,Illinois,Chicago,26250,35,3004
Foot Locker,Midwest,Illinois,Chicago,25000,40,3004
Foot Locker,Midwest,Illinois,Chicago,26250,35,3004
Foot Locker,Midwest,Illinois,Chicago,81250,50,3004
Foot Locker,Midwest,Illinois,Chicago,96000,40,3004
Foot Locker,Midwest,Illinois,Chicago,43750,35,3004
Foot Locker,Midwest,Illinois,Chicago,34125,35,3004
Foot Locker,Midwest,Illinois,Chicago,35000,40,3004
Foot Locker,Midwest,Illinois,Chicago,31500,35,3004
Foot Locker,Midwest,Illinois,Chicago,81250,50,3004
Foot Locker,Midwest,Illinois,Chicago,120000,40,3004
Foot Locker,Midwest,Illinois,Chicago,52500,35,3004
Foot Locker,Midwest,Illinois,Chicago,43750,35,3004
Foot Locker,Midwest,Illinois,Chicago,40000,40,3004
Foot Locker,Midwest,Illinois,Chicago,42000,35,3004
Foot Locker,Midwest,Illinois,Chicago,97500,50,3004
Sports Direct,Midwest,Illinois,Chicago,43500,30,2164
Sports Direct,Midwest,Illinois,Chicago,65250,30,2164
Sports Direct,Midwest,Illinois,Chicago,47250,30,2164
Sports Direct,Midwest,Illinois,Chicago,73500,40,2164
Sports Direct,South,Texas,Dallas,37500,25,2164
Sports Direct,South,Texas,Dallas,82688,45,2164
Sports Direct,South,Texas,Dallas,50625,30,2164
Sports Direct,South,Texas,Dallas,68250,30,2164
Sports Direct,South,Texas,Dallas,49875,30,2164
Sports Direct,South,Texas,Dallas,59500,40,2164
Sports Direct,South,Texas,Dallas,30000,25,2164
Sports Direct,South,Texas,Dallas,78750,45,2164
Sports Direct,South,Texas,Dallas,70875,35,2164
Sports Direct,South,Texas,Dallas,94500,35,2164
Sports Direct,South,Texas,Dallas,52500,35,2164
Sports Direct,South,Texas,Dallas,63000,45,2164
Sports Direct,South,Texas,Dallas,36000,30,2164
Sports Direct,South,Texas,Dallas,78750,50,2164
Sports Direct,South,Texas,Dallas,49000,35,2164
Sports Direct,South,Texas,Dallas,73500,35,2164
Sports Direct,South,Texas,Dallas,45938,35,2164
Sports Direct,South,Texas,Dallas,57375,45,2164
Sports Direct,South,Texas,Dallas,34125,30,2164
Sports Direct,South,Texas,Dallas,90000,50,2164
Sports Direct,South,Texas,Dallas,52500,35,2164
Sports Direct,South,Texas,Dallas,81375,35,2164
Sports Direct,South,Texas,Dallas,54688,35,2164
Sports Direct,South,Texas,Dallas,86625,45,2164
Sports Direct,South,Texas,Dallas,67500,30,2164
Sports Direct,South,Texas,Dallas,180000,50,2164
Sports Direct,South,Texas,Dallas,126000,35,2164
Sports Direct,South,Texas,Dallas,140000,35,2164
Sports Direct,South,Texas,Dallas,102375,35,2164
Sports Direct,South,Texas,Dallas,121500,45,2164
Sports Direct,South,Texas,Dallas,75000,30,2164
Sports Direct,South,Texas,Dallas,240625,50,2164
Sports Direct,South,Texas,Dallas,148500,40,2164
Sports Direct,South,Texas,Dallas,165000,40,2164
Sports Direct,South,Texas,Dallas,175500,40,2164
Sports Direct,South,Texas,Dallas,129375,50,2164
Sports Direct,South,Texas,Dallas,100625,35,2164
Sports Direct,South,Texas,Dallas,280500,55,2164
Sports Direct,South,Texas,Dallas,160000,40,2164
Sports Direct,South,Texas,Dallas,176000,40,2164
Sports Direct,South,Texas,Dallas,195000,40,2164
Sports Direct,South,Texas,Dallas,131250,50,2164
Sports Direct,South,Texas,Dallas,101063,35,2164
Sports Direct,South,Texas,Dallas,255750,55,2164
Sports Direct,South,Texas,Dallas,159500,40,2164
Sports Direct,South,Texas,Dallas,148500,40,2164
Sports Direct,South,Texas,Dallas,174000,40,2164
Sports Direct,South,Texas,Dallas,135000,50,2164
Sports Direct,South,Texas,Dallas,86625,35,2164
Sports Direct,South,Texas,Dallas,185625,55,2164
Sports Direct,South,Texas,Dallas,100000,40,2164
Sports Direct,South,Texas,Dallas,100000,40,2164
Sports Direct,South,Texas,Dallas,103500,40,2164
Sports Direct,South,Texas,Dallas,95625,50,2164
Sports Direct,South,Texas,Dallas,56000,35,2164
Sports Direct,South,Texas,Dallas,158125,55,2164
Sports Direct,South,Texas,Dallas,116000,40,2164
Sports Direct,South,Texas,Dallas,116000,40,2164
Sports Direct,South,Texas,Dallas,169000,40,2164
Sports Direct,South,Texas,Dallas,162500,50,2164
Sports Direct,South,Texas,Dallas,99750,35,2164
Sports Direct,South,Texas,Dallas,259875,55,2164
Sports Direct,South,Texas,Dallas,198000,40,2164
Sports Direct,South,Texas,Dallas,198000,40,2164
Sports Direct,South,Texas,Dallas,188500,40,2164
Sports Direct,South,Texas,Dallas,186875,50,2164
Sports Direct,South,Texas,Dallas,110250,35,2164
Sports Direct,South,Texas,Dallas,298375,55,2164
Foot Locker,South,Texas,Dallas,105188,55,3004
Foot Locker,South,Texas,Dallas,35438,35,3004
Foot Locker,South,Texas,Dallas,31500,40,3004
Foot Locker,South,Texas,Dallas,12000,40,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,24063,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,30375,30,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,117563,55,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,19688,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,24500,40,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,8000,40,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,24063,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,30375,30,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,122375,55,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,26250,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,28000,40,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,4500,40,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,13500,30,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,21875,25,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,112500,50,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,22500,30,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,21000,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,11813,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,13500,30,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,25000,25,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,141000,50,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,31500,30,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,28875,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,19250,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,24375,30,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,52500,30,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,178750,55,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,52500,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,38500,40,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,33000,40,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,34125,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,63000,30,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,178750,55,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,63000,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,49500,40,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,38500,40,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,45500,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,78750,30,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,187688,55,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,63000,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,49500,40,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,44000,40,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,39813,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,73500,30,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,154375,50,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,41250,30,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,31500,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,27563,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,20625,30,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,33750,25,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,120000,50,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,33750,30,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,21875,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,17500,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,18000,30,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,36563,25,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,144375,55,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,42000,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,46800,40,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,42000,40,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,36750,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,56250,30,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,182875,55,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,57750,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,54000,40,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,42000,40,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,42875,35,3004
Foot Locker,Northeast,Pennsylvania,Philadelphia,61875,30,3004
West Gear,Northeast,Pennsylvania,Philadelphia,63000,40,3199
West Gear,Northeast,Pennsylvania,Philadelphia,50625,25,3199
West Gear,Northeast,Pennsylvania,Philadelphia,81000,40,3199
West Gear,Northeast,Pennsylvania,Philadelphia,47250,35,3199
West Gear,West,Nevada,Las Vegas,68750,55,3199
West Gear,West,Nevada,Las Vegas,42750,20,3199
West Gear,West,Nevada,Las Vegas,73500,40,3199
West Gear,West,Nevada,Las Vegas,47813,25,3199
West Gear,West,Nevada,Las Vegas,76500,40,3199
West Gear,West,Nevada,Las Vegas,43313,35,3199
West Gear,West,Nevada,Las Vegas,55000,55,3199
West Gear,West,Nevada,Las Vegas,36000,20,3199
West Gear,West,Nevada,Las Vegas,99000,40,3199
West Gear,West,Nevada,Las Vegas,55000,25,3199
West Gear,West,Nevada,Las Vegas,88000,40,3199
West Gear,West,Nevada,Las Vegas,57750,35,3199
West Gear,West,Nevada,Las Vegas,57750,55,3199
West Gear,West,Nevada,Las Vegas,41250,20,3199
West Gear,West,Nevada,Las Vegas,132000,40,3199
